Book,Date Read/Rated,Date Published,Rating,Author
Billy Summers,04/12/2026,08/03/2021,8,Stephen King
Separation of Power,08/10/2025,06/27/2000,8,Vince Flynn
The Third Option,08/03/2025,10/01/2000,8,Vince Flynn
Transfer of Power,07/24/2025,10/01/1999,8,Vince Flynn
Sea of Tranquility,06/29/2025,04/05/2022,8,Emily St. John Mandel
11/22/63,06/24/2025,11/08/2011,10,Stephen King
Project Hail Mary,06/10/2025,05/04/2021,10,Andy Weir
Red Sky Mourning,06/24/2025,05/21/2024,8,Jack Carr
It,07/13/2019,09/15/1986,8,Stephen King
In the Blood,05/27/2025,05/17/2022,8,Jack Carr
Only the Dead,05/27/2025,05/16/2023,6,Jack Carr
The Devil's Hand,05/27/2025,04/13/2021,6,Jack Carr
True Believer,04/15/2025,07/30/2019,8,Jack Carr
Savage Son,04/15/2025,04/14/2020,8,Jack Carr
The Lost World,04/04/2025,09/08/1995,8,Michael Crichton
Tell No One,04/02/2025,06/19/2001,8,Harlan Coben
The Terminal List,04/02/2025,03/06/2018,8,Jack Carr
Jurassic Park,03/30/2025,11/20/1990,10,Michael Crichton
And Then There Were None,03/27/2025,11/06/1939,8,Agatha Christie
Mistborn: The Final Empire,03/14/2025,07/17/2006,6,Brandon Sanderson
The Will of the Many,01/13/2025,05/23/2023,10,James Islington
City in Ruins,11/27/2024,04/23/2024,10,Don Winslow
City of Dreams,10/24/2024,04/18/2023,10,Don Winslow
The Boy from the Woods,04/13/2021,03/17/2020,10,Harlan Coben
Leave the World Behind,07/21/2020,10/06/2020,6,Rumaan Alam
A Deadly Influence,08/07/2023,08/17/2021,6,Mike Omer
Savages,08/27/2018,07/13/2010,8,Don Winslow
City on Fire,03/18/2023,05/04/2021,8,Don Winslow
The Institute,12/20/2022,09/10/2019,8,Stephen King
It Ends with Us,12/20/2022,08/02/2016,4,Colleen Hoover
Verity,12/20/2022,12/07/2018,4,Colleen Hoover
The Match,06/01/2022,03/15/2022,8,Harlan Coben
The Last Thing He Told Me,03/29/2022,05/04/2021,6,Laura Dave
One Minute Out,12/20/2022,02/18/2020,6,Mark Greaney
People We Meet on Vacation,02/17/2022,05/11/2021,6,Emily Henry
Station Eleven,02/02/2022,09/09/2014,10,Emily St. John Mandel
The Seven Husbands of Evelyn Hugo,10/23/2022,06/13/2017,8,Taylor Jenkins Reid
Malibu Rising,01/09/2022,06/01/2021,8,Taylor Jenkins Reid
Win,08/05/2021,03/16/2021,8,Harlan Coben
The Woods,05/14/2020,04/17/2007,8,Harlan Coben
The Stranger,05/08/2021,03/31/2015,8,Harlan Coben
Deal Breaker,04/27/2021,09/01/1995,8,Harlan Coben
Fool Me Once,04/16/2021,03/22/2016,10,Harlan Coben
Don't Let Go,04/14/2021,09/26/2017,10,Harlan Coben
The Gray Man,07/21/2020,06/02/2009,10,Mark Greaney
The Woman in the Window,07/19/2020,01/02/2018,10,A.J. Finn
Killman Creek,07/05/2020,07/01/2017,8,Rachel Caine
Harry Potter and the Deathly Hallows,04/11/2020,07/21/2007,10,J.K. Rowling
Harry Potter and the Half-Blood Prince,04/04/2020,07/16/2005,10,J.K. Rowling
Harry Potter and the Goblet of Fire,03/30/2020,07/08/2000,10,J.K. Rowling
Harry Potter and the Prisoner of Azkaban,03/30/2020,07/08/1999,10,J.K. Rowling
Harry Potter and the Chamber of Secrets,03/30/2020,07/02/1998,10,J.K. Rowling
Harry Potter and the Order of the Phoenix,03/30/2020,06/21/2003,10,J.K. Rowling
Harry Potter and the Chamber of Secrets,02/28/2020,07/02/1998,10,J.K. Rowling
Harry Potter and the Philosopher's Stone,02/23/2020,06/26/1997,10,J.K. Rowling
Morning Star,12/15/2019,02/09/2016,10,Pierce Brown
Golden Son,12/11/2019,01/06/2015,10,Pierce Brown
Red Rising,01/04/2019,01/28/2014,10,Pierce Brown
Cut and Run,12/05/2019,05/08/2018,8,Mary Burton
Pushing Brilliance,10/12/2019,08/01/2016,10,Tim Tigner
Don't Even Breathe,08/22/2019,08/06/2019,8,Keith Houghton
A Merciful Promise,08/14/2019,07/16/2019,10,Kendra Elliot
A Merciful Fate,08/11/2019,01/15/2019,8,Kendra Elliot
A Merciful Silence,08/11/2019,06/19/2018,8,Kendra Elliot
A Merciful Secret,08/06/2019,01/16/2018,8,Kendra Elliot
A Merciful Truth,08/03/2019,06/13/2017,8,Kendra Elliot
A Merciful Death,07/28/2019,01/17/2017,10,Kendra Elliot
Rogue,07/24/2019,08/28/2018,8,J.B. Turner
In the Darkness,07/19/2019,06/25/2019,8,Mike Omer
Hard Hit,01/27/2019,01/15/2019,8,J.B. Turner
Without Remorse,09/03/2018,08/11/1993,6,Tom Clancy
Big Little Lies,05/16/2019,07/29/2014,8,Liane Moriarty
Sharp Objects,04/18/2019,09/26/2006,10,Gillian Flynn
Us Against You,04/11/2019,06/05/2018,10,Fredrik Backman
The Border,03/25/2019,02/26/2019,8,Don Winslow
My Grandmother Asked Me to Tell You She's Sorry,02/19/2019,06/16/2015,10,Fredrik Backman
The Martian,02/03/2019,02/11/2014,10,Andy Weir
Dark Places,01/19/2019,05/05/2009,6,Gillian Flynn
Gone Girl,01/04/2019,06/05/2012,10,Gillian Flynn
Bad Blood,12/30/2018,12/11/2018,8,L.T. Vargus
The Girl in the Sand,12/27/2018,05/29/2018,6,L.T. Vargus
Killing Season,12/26/2018,09/26/2017,8,L.T. Vargus
Dead End Girl,09/27/2018,01/10/2017,10,L.T. Vargus
Hard Fall,09/20/2018,07/24/2018,8,J.B. Turner
Hard Way,09/18/2018,08/29/2017,10,J.B. Turner
Hard Wired,09/13/2018,10/20/2015,8,J.B. Turner
Hard Kill,09/08/2018,09/23/2014,8,J.B. Turner
Hard Road,09/07/2018,09/24/2013,8,J.B. Turner
Blind River,09/05/2018,06/19/2018,10,Ben Follows
A Killer's Mind,08/30/2018,07/19/2018,10,Mike Omer
The Fellowship of the Ring,08/27/2018,07/29/1954,6,J.R.R. Tolkien
"The Hobbit, or There and Back Again",08/27/2018,09/21/1937,8,J.R.R. Tolkien
The Murder of Roger Ackroyd,08/27/2018,06/01/1926,8,Agatha Christie
Beneath a Scarlet Sky,08/27/2018,05/01/2017,10,Mark T. Sullivan
The Gentleman's Hour,08/27/2018,06/07/2011,8,Don Winslow
Silesian Station,08/27/2018,05/01/2008,6,David Downing
Zoo Station,08/27/2018,05/01/2007,6,David Downing
The Book of Basketball: The NBA According to The Sports Guy,08/27/2018,10/13/2009,10,Bill Simmons
"Return of the King: LeBron James, The Cleveland Cavaliers and the Greatest Comeback in NBA History",08/27/2018,04/11/2017,8,Brian Windhorst
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",08/27/2018,05/19/2015,8,Ashlee Vance
Armada,08/27/2018,07/14/2015,8,Ernest Cline
Ready Player One,08/27/2018,08/16/2011,10,Ernest Cline
Annihilation,08/27/2018,02/04/2014,8,Jeff VanderMeer
A Man Called Ove,08/27/2018,07/15/2014,10,Fredrik Backman
Beartown,08/27/2018,04/25/2017,10,Fredrik Backman
The Kings of Cool,08/27/2018,06/26/2012,8,Don Winslow
